Review	Liked
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy."	0
This is a really fantastic pizza bar which is definitely worth a visit.	1
"Nice, spicy and tender."	1
Good prices.	1
Check it out.	1
It was pretty gross!	0
I've had better atmosphere.	0
Kind of hard to mess up a steak but they did.	0
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing."	0
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.	0
"Worst service to boot, but that is the least of their worries."	0
Service was fine and the waitress was friendly.	1
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten."	1
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night."	1
"Host staff were, for lack of a better word, BITCHES!"	0
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...	0
"Phenomenal food, service and ambiance."	1
I wouldn't return.	0
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas."	1
This place is way too overpriced for mediocre food.	0
Penne vodka excellent!	1
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers."	1
The management is rude.	0
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even."	1
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations."	1
I had a seriously solid breakfast here.	1
This is one of the best bars with food in Vegas.	1
"He was extremely rude and really, there are so many other bars I would love to dine at during a weekend in Vegas."	0
My drink was never empty and he made some really great menu suggestions.	1
Don't do it!!!!	0
The waiter wasn't helpful or friendly and rarely checked on us.	0
My husband and I ate lunch here and were very disappointed with the food and service.	0
And the red curry had so much bamboo shoots and wasn't very tasty to me.	0
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.	1
The bathrooms are clean and the place itself is well decorated.	1
"The menu is always changing, food quality is going down & service is extremely slow."	0
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace."	0
I give it 2 thumbs down	0
We watched our waiter pay a lot more attention to other tables and ignore us.	0
My fiancÃ© and I came in the middle of the day and we were greeted and seated right away.	1
This is a great bar at the Mandalay Bay.	1
We waited for forty five minutes in vain.	0
Crostini that came with the salad was stale.	0
Some highlights : Great quality nigiri here!	1
the staff is friendly and the joint is always clean.	1
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.	1
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.	1
this place is good.	1
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE."	0
I came back today since they relocated and still not impressed.	0
I was seated immediately.	1
"Their menu is diverse, and reasonably priced."	1
Avoid at all cost!	0
bar is always full but never a wait.	1
DELICIOUS!!	1
This place is hands-down one of the best places to eat in the Phoenix metro area.	1
So don't go there if you are looking for good food...	0
I've never been treated so bad.	0
Bacon is hella salty.	1
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste."	0
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed."	1
The waitresses are very friendly.	1
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!"	1
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.	1
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back."	0
The service here leaves a lot to be desired.	0
"The atmosphere is modern and hip, while maintaining a touch of coziness."	1
"Not a weekly haunt, but definitely a place to come back to every once in a while."	1
We literally sat there for 20 minutes with no one asking to take our order.	0
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor."	0
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.	0
I dressed up to be treated so rudely!	0
It was probably dirt.	0
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor."	1
I ordered the Lemon raspberry ice cocktail which was also incredible.	1
"The food sucked, which we expected but it sucked more than we could have imagined."	0
Interesting decor.	1
What I really like there is the crepe station.	1
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good."	1
you can watch them preparing the delicious food!)	1
Both of the egg rolls were fantastic.	1
"When my order arrived, one of the gyros was missing."	0
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied."	1
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.	0
The best place to go for a tasty bowl of Pho!	1
The live music on Fridays totally blows.	0
I've never been more insulted or felt disrespected.	0
Very friendly staff.	1
It is worth the drive.	1
"I had heard good things about this place, but it exceeding every hope I could have dreamed of."	1
Food was great and so was the serivce!	1
The warm beer didn't help.	0
Great brunch spot.	1
Service is friendly and inviting.	1
Very good lunch spot.	1
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.	0
The WORST EXPERIENCE EVER.	0
Must have been an off night at this place.	0
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous."	1
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen."	0
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon."	0
My friend loved the salmon tartar.	1
Won't go back.	0
Extremely Tasty!	1
Waitress was good though!	1
Soggy and not good.	0
The Jamaican mojitos are delicious.	1
Which are small and not worth the price.	0
#¿NOMBRE?	1
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!"	0
The service was a bit lacking.	0
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables."	0
Hopefully this bodes for them going out of business and someone who can cook can come in.	0
"It was either too cold, not enough flavor or just bad."	0
I loved the bacon wrapped dates.	1
This is an unbelievable BARGAIN!	1
The folks at Otto always make us feel so welcome and special.	1
"As for the ""mains,"" also uninspired."	0
This is the place where I first had pho and it was amazing!!	1
This wonderful experience made this place a must-stop whenever we are in town again.	1
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people."	0
Very very fun chef.	1
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks."	0
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.	1
"If it were possible to give them zero stars, they'd have it."	0
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them."	0
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing)."	1
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.	0
"Everyone is very attentive, providing excellent customer service."	1
Horrible - don't waste your time and money.	0
Now this dish was quite flavourful.	1
By this time our side of the bar was almost empty so there was no excuse.	0
"(It wasn't busy either) Also, the building was FREEZING cold."	0
"like the other reviewer said ""you couldn't pay me to eat at this place again."""	0
-Drinks took close to 30 minutes to come out at one point.	0
"Seriously flavorful delights, folks."	1
Much better than the other AYCE sushi place I went to in Vegas.	1
The lighting is just dark enough to set the mood.	1
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.	0
Owner's are really great people.!	1
There is nothing privileged about working/eating there.	0
The Greek dressing was very creamy and flavorful.	1
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too."	0
Now the pizza itself was good the peanut sauce was very tasty.	1
We had 7 at our table and the service was pretty fast.	1
Fantastic service here.	1
I as well would've given godfathers zero stars if possible.	0
They know how to make them here.	1
very tough and very short on flavor!	0
I hope this place sticks around.	1
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water."	0
The bar atmosphere was exquisite.	1
"Good service, very clean, and inexpensive, to boot!"	1
The seafood was fresh and generous in portion.	1
"Plus, it's only 8 bucks."	1
"The service was not up to par, either."	0
"Thus far, have only visited twice and the food was absolutely delicious each time."	1
Just as good as when I had it more than a year ago!	1
"For a self proclaimed coffee cafe, I was wildly disappointed."	0
The Veggitarian platter is out of this world!	1
You cant go wrong with any of the food here.	1
You can't beat that.	1
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff."	1
The chefs were friendly and did a good job.	1
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho."	0
I liked the patio and the service was outstanding.	1
The goat taco didn't skimp on the meat and wow what FLAVOR!	1
I think not again	0
I had the mac salad and it was pretty bland so I will not be getting that again.	0
I went to Bachi Burger on a friend's recommendation and was not disappointed.	1
Service stinks here!	0
I waited and waited.	0
"This place is not quality sushi, it is not a quality bar."	0
I would definitely recommend the wings as well as the pizza.	1
Great Pizza and Salads!	1
Things that went wrong: - They burned the saganaki.	0
We waited an hour for what was a breakfast I could have done 100 times better at home.	0
This place is amazing!	1
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place."	0
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!	0
Just don't know why they were so slow.	0
"The staff is great, the food is delish, and they have an incredible beer selection."	1
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location."	0
I didn't know pulled pork could be soooo delicious.	1
"You get incredibly fresh fish, prepared with care."	1
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.	0
I love the fact that everything on their menu is worth it.	1
Never again will I be dining at this place!	0
The food was excellent and service was very good.	1
Good beer & drink selection and good food selection.	1
Please stay away from the shrimp stir fried noodles.	0
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.	0
Food was really boring.	0
Good Service-check!	1
This greedy corporation will NEVER see another dime from me!	0
"Will never, ever go back."	0
"As much as I'd like to go back, I can't get passed the atrocious service and will never return."	0
"In the summer, you can dine in a charming outdoor patio - so very delightful."	1
I did not expect this to be so good!	1
Fantastic food!	1
She ordered a toasted English muffin that came out untoasted.	0
The food was very good.	1
Never going back.	0
"Great food for the price, which is very high quality and house made."	1
The bus boy on the other hand was so rude.	0
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it barlicly and loudly known."	0
"Back to good BBQ, lighter fare, reasonable pricing and tell the barlic they are back to the old ways."	1
"And considering the two of us left there very full and happy for about $20, you just can't go wrong."	1
All the bread is made in-house!	1
The only downside is the service.	0
"Also, the fries are without a doubt the worst fries I've ever had."	0
Service was exceptional and food was a good as all the reviews.	1
"A couple of months later, I returned and had an amazing meal."	1
Favorite place in town for shawarrrrrrma!!!!!!	1
The black eyed peas and sweet potatoes... UNREAL!	1
You won't be disappointed.	1
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good."	1
"I go to far too many places and I've never seen any bar that serves a 1 egg breakfast, especially for $4.00."	0
When my mom and I got home she immediately got sick and she only had a few bites of salad.	0
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.	0
"Both of them were truly unbelievably good, and I am so glad we went back."	1
"We had fantastic service, and were pleased by the atmosphere."	1
Everything was gross.	0
I love this place.	1
Great service and food.	1
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!	0
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed."	0
"OMG, the food was delicioso!"	1
There is nothing authentic about this place.	0
the spaghetti is nothing special whatsoever.	0
"Of all the dishes, the salmon was the best, but all were great."	1
The vegetables are so fresh and the sauce feels like authentic pizza.	1
It's worth driving up from Tucson!	1
The selection was probably the worst I've seen in Vegas.....there was none.	0
Pretty good beer selection too.	1
"This place is like Chipotle, but BETTER."	1
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!"	1
5 stars for the brick oven bread app!	1
"I have eaten here multiple times, and each time the food was delicious."	1
We sat another ten minutes and finally gave up and left.	0
He was terrible!	0
Everyone is treated equally special.	1
It shouldn't take 30 min for pancakes and eggs.	0
It was delicious!!!	1
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat."	1
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas."	0
As always the evening was wonderful and the food delicious!	1
Best fish I've ever had in my life!	1
(The bathroom is just next door and very nice.)	1
The buffet is small and all the food they offered was BLAND.	0
This is an Outstanding little bar with some of the Best Food I have ever tasted.	1
Pretty cool I would say.	1
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.	0
Server did a great job handling our large rowdy table.	1
"I find wasting food to be despicable, but this just wasn't food."	0
My wife had the Lobster Bisque soup which was lukewarm.	0
Would come back again if I had a sushi craving while in Vegas.	1
"The staff are great, the ambiance is great."	1
He deserves 5 stars.	1
I left with a stomach ache and felt sick the rest of the day.	0
They dropped more than the ball.	0
"The dining space is tiny, but elegantly decorated and comfortable."	1
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!"	1
And the beans and rice were mediocre at best.	0
Best tacos in town by far!!	1
I took back my money and got outta there.	0
"In an interesting part of town, this place is amazing."	1
RUDE & INCONSIDERATE MANAGEMENT.	0
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes."	0
I won't be back.	0
They have great dinners.	1
The service was outshining & I definitely recommend the Halibut.	1
The food was terrible.	0
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.	0
I don't recommend unless your car breaks down in front of it and you are starving.	0
I will come back here every time I'm in Vegas.	1
This place deserves one star and 90% has to do with the food.	0
This is a disgrace.	0
Def coming back to bowl next time	1
"If you want healthy authentic or ethic food, try this place."	1
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.	1
"I have been here several times in the past, and the experience has always been great."	1
We walked away stuffed and happy about our first Vegas buffet experience.	1
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.	1
"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser."	1
I'm probably one of the few people to ever go to Ians and not like it.	0
Kids pizza is always a hit too with lots of great side dish options for the kiddos!	1
Service is perfect and the family atmosphere is nice to see.	1
Cooked to perfection and the service was impeccable.	1
This one is simply a disappointment.	0
"Overall, I was very disappointed with the quality of food at Bouchon."	0
I don't have to be an accountant to know I'm getting screwed!	0
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area."	1
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.	1
Left very frustrated.	0
I'll definitely be in soon again.	1
Food was really good and I got full petty fast.	1
Service was fantastic.	1
TOTAL WASTE OF TIME.	0
I don't know what kind it is but they have the best iced tea.	1
"Come hungry, leave happy and stuffed!"	1
"For service, I give them no stars."	0
I can assure you that you won't be disappointed.	1
I can take a little bad service but the food sucks.	0
Gave up trying to eat any of the crust (teeth still sore).	0
But now I was completely grossed out.	0
I really enjoyed eating here.	1
First time going but I think I will quickly become a regular.	1
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end."	1
From what my dinner companions told me...everything was very fresh with nice texture and taste.	1
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop."	0
"Furthermore, you can't even find hours of operation on the website!"	0
We've tried to like this place but after 10+ times I think we're done with them.	0
What a mistake that was!	0
No complaints!	1
This is some seriously good pizza and I'm an expert/connisseur on the topic.	1
Waiter was a jerk.	0
"Strike 2, who wants to be rushed."	0
These are the nicest bar owners I've ever come across.	1
I never come again.	0
We loved the biscuits!!!	1
Service is quick and friendly.	1
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.	0
So absolutley fantastic.	1
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.	0
definitely will come back here again.	1
I like Steiners because it's dark and it feels like a bar.	1
Wow very spicy but delicious.	1
"If you're not familiar, check it out."	1
I'll take my business dinner dollars elsewhere.	0
I'd love to go back.	1
"Anyway, this FS bar has a wonderful breakfast/lunch."	1
Nothing special.	0
Each day of the week they have a different deal and it's all so delicious!	1
"I don't know what the big deal is about this place, but I won't be back ""ya'all""."	0
I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.	0
The ambiance isn't much better.	0
"Unfortunately, it only set us up for disapppointment with our entrees."	0
The food wasn't good.	0
"Your servers suck, wait, correction, our server Heimer sucked."	0
What happened next was pretty....off putting.	0
"too bad cause I know it's family owned, I really wanted to like this place."	0
Overpriced for what you are getting.	0
I vomited in the bathroom mid lunch.	0
"I kept looking at the time and it had soon become 35 minutes, yet still no food."	0
"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list."	0
We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.	0
Food was below average.	0
It sure does beat the nachos at the movies but I would expect a little bit more coming from a bar.	0
"All in all, Ha Long Bay was a bit of a flop."	0
The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).	0
Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.	0
"It lacked flavor, seemed undercooked, and dry."	0
It really is impressive that the place hasn't closed down.	0
I would avoid this place if you are staying in the Mirage.	0
The refried beans that came with my meal were dried out and crusty and the food was bland.	0
Spend your money and time some place else.	0
A lady at the table next to us found a live green caterpillar In her salad.	0
the presentation of the food was awful.	0
I can't tell you how disappointed I was.	0
I think food should have flavor and texture and both were lacking.	0
Appetite instantly gone.	0
Overall I was not impressed and would not go back.	0
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time."	0
"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check."	0
Their monster chicken fried steak and eggs is my all time favorite.	1
Waitress was sweet and funny.	1
This place is horrible and way overpriced.	0
"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best."	0
It wasn't busy at all and now we know why.	0
The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.	0
"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits."	0
Con: spotty service.	0
"The fries were not hot, and neither was my burger."	0
But then they came back cold.	0
"Then our food came out, disappointment ensued."	0
The real disappointment was our waiter.	0
My husband said she was very rude... did not even apologize for the bad food or anything.	0
The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.	0
"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it."	0
If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?	0
She was quite disappointed although some blame needs to be placed at her door.	0
After all the rave reviews I couldn't wait to eat here......what a disappointment!	0
Del Taco is pretty nasty and should be avoided if possible.	0
It's NOT hard to make a decent hamburger.	0
But I don't like it.	0
Hell no will I go back	0
We've have gotten a much better service from the pizza place next door than the services we received from this bar.	0
And then tragedy struck.	0
