AcctAge,DDA,DDABal,CashBk,Checks,DirDep,NSF,NSFAmt,Phone,Teller,Sav,SavBal,ATM,ATMAmt,POS,POSAmt,CD,CDBal,IRA,IRABal,LOC,LOCBal,ILS,ILSBal,MM,MMBal,MMCred,MTG,MTGBal,CC,CCBal,CCPurc,SDB,Income,HMOwn,LORes,HMVal,Age,CRScore,Moved,InArea,Ins,Branch,Res,Dep,DepAmt,Inv,InvBal
23.1,1,1845.24,0,9,1,0,0,0,1,1,35.02,0,0,0,0,0,0,0,0,0,0,1,10115.72,0,0,0,0,0,1,1378.46,1,1,60,1,7,115,67,716,0,1,0,B16,R,2,1462.75,0,0
4,0,0,0,0,0,0,0,,0,1,15426.87,0,0,,,0,0,0,0,1,7146.89,0,0,0,0,0,1,112691.03,,,,0,35,1,3.5,99,46,642,0,1,1,B14,U,0,0,,
4.3,1,1844.72,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,15836.8,0,0,0,0,0,0,0,1,17135.95,0,0,40,1,8.5,91,62,667,0,1,0,B5,R,4,3699.9,0,0
4.7,1,1603.88,0,0,0,0,0,0,0,1,79041.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,4.5,115,62,632,0,1,1,B1,S,1,263.35,0,0
16.2,1,1293.54,0,2,0,0,0,0,2,1,2201.17,0,0,0,0,0,0,0,0,0,0,0,0,1,15589.44,2,0,0,0,0,0,0,112,1,10,140,37,652,0,1,1,B10,R,1,1018.03,0,0
1.6,1,205.05,0,1,0,0,0,0,2,1,1256.73,0,0,1,43.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,9,101,63,710,0,1,1,B3,U,1,119.41,0,0
,1,998.25,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1,8,129,22,626,0,1,1,B1,S,2,1471.81,0,0
3.7,1,1129.05,0,1,0,0,0,,2,0,0,1,72.8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,25,0,7.5,110,32,708,0,1,0,B15,U,0,0,,
0.3,1,5681.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26700,0,0,1,34335.24,0,0,0,0,0,1,284487.09,1,310836.87,1,0,100,1,2.5,144,48,632,0,1,1,B2,U,0,0,0,0
0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14900.51,0,0,0,0,0,0,0,54,0,4.5,127,49,708,0,1,0,B16,R,0,0,0,0
6.4,1,1091.95,0,3,0,0,0,0,5,0,0,1,1487.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1466.87,0,0,45,0,6,130,27,608,0,1,0,B2,U,3,2466.55,0,0
1.5,0,0,0,0,0,0,0,,0,1,54086.26,0,0,,,0,0,1,6451.89,0,0,0,0,0,0,0,0,0,,,,0,31,0,4,97,53,693,0,0,0,B18,R,0,0,,
13,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,15010.99,0,0,0,,,,0,13,0,5,94,46,713,0,0,1,B15,S,0,0,,
4.3,1,251.08,0,8,0,0,0,1,0,1,2248.09,1,7992.33,0,0,0,0,0,0,0,0,1,10172.3,0,0,0,0,0,1,9667.13,0,0,35,0,3.5,95,35,686,0,1,1,B3,S,3,6695.97,0,0
0.5,1,112.19,0,5,0,0,0,1,0,1,142.19,1,765.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2726.93,1,0,15,0,5.5,88,47,593,0,1,0,B3,S,4,1665.86,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15036.22,2,0,0,1,77.94,1,0,29,1,9,96,33,656,0,1,1,B4,U,0,0,0,0
15.3,0,0,0,0,0,0,0,,0,1,832.71,1,599.71,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,108,1,5.5,128,57,710,0,1,0,B15,S,0,0,,
5.4,0,0,0,0,0,0,0,,0,1,12038.25,1,605.69,,,0,0,0,0,0,0,0,0,0,0,0,1,342497.18,,,,0,,1,,,,726,0,1,0,B15,U,0,0,,
41.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1260.4,0,1,55,0,4,129,,,0,1,0,B2,S,0,0,0,0
6.3,1,1392.5,0,9,0,0,0,0,2,0,0,1,1135.72,2,92.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,594,0,1,0,B2,S,2,877.09,0,0
0.8,1,23.48,0,0,0,0,0,3,3,1,17.8,1,1202.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,97,83,730,0,1,0,B17,R,2,764.68,0,0
4.5,1,1660.44,0,6,0,0,0,1,1,1,668.2,1,876.77,0,0,0,0,0,0,1,36455.96,0,0,0,0,0,0,0,1,40530.61,0,0,65,1,5,113,49,693,0,1,0,B17,R,4,4425.18,0,0
9.1,1,306.64,0,11,0,0,0,1,2,1,910.43,1,82.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2730.69,0,0,18,0,3,103,32,660,0,1,0,B3,S,2,1618.01,0,0
3.9,1,5100.79,0,14,0,0,0,2,11,1,8.23,1,1391.77,7,334.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,12,106,61,687,0,1,0,B5,S,2,10415.91,0,0
3.9,1,1396.35,0,14,1,1,23.45,1,0,0,0,1,949.88,6,349.63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4244.01,0,1,81,1,7.5,132,22,631,0,1,0,B1,R,4,3599.73,0,0
2.7,1,292.54,0,1,0,0,0,0,0,0,0,1,1750.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,2.5,123,52,634,0,1,1,B8,U,2,1131.75,0,0
,1,1125.02,0,0,1,1,7.47,0,0,1,648.51,1,637.22,1,61.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,1,5,156,24,642,0,1,0,B2,S,2,945.24,0,0
4.3,1,10130.23,0,5,0,0,0,0,4,1,1213.67,1,172.01,7,384.91,1,7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,10.5,91,54,665,0,1,1,B5,S,3,3626.37,0,0
3.9,1,35676.34,0,6,1,0,0,0,2,0,0,1,32.98,0,0,0,0,0,0,1,16753.76,0,0,0,0,0,0,0,1,16697.06,0,0,20,1,9,148,45,639,0,1,1,B2,R,2,11578.68,0,0
4,1,5128.61,0,15,1,0,0,3,14,1,10385.16,0,0,0,0,0,0,0,0,0,0,1,10506.02,0,0,0,0,0,1,81299.9,0,0,35,1,5.5,106,40,614,0,1,1,B7,S,3,6733.88,0,0
26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,305.39,0,0,24,1,5,85,57,742,0,1,1,B8,S,0,0,0,0
0.3,1,573.4,0,1,0,0,0,0,0,1,662.18,1,3640.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,805.2,0,0,,,,,,719,0,1,0,B2,U,3,2023.27,0,0
3.5,1,337.98,0,11,1,0,0,0,1,1,28.55,1,398.27,1,34.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,4,123,49,640,0,1,0,B16,R,2,2631.25,1,0
3.8,1,4494.62,0,12,1,0,0,0,0,1,16659.84,1,11.39,0,0,1,12700,0,0,0,0,0,0,0,0,0,0,0,1,274.81,0,0,233,1,7,216,27,635,0,1,1,B3,R,2,4276.89,0,0
7,1,5663.56,0,6,1,0,0,0,0,1,16570.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,3.5,118,30,629,0,1,0,B17,R,2,2223.36,0,0
0.6,1,5112.49,0,15,1,0,0,2,2,1,174.47,1,0,5,799.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2974.99,1,0,61,1,7,124,34,684,0,1,0,B9,S,6,8887.2,0,0
2.8,1,1038.37,0,4,0,0,0,,4,1,2652.47,1,220.85,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,15,0,4.5,100,29,653,0,1,0,B15,S,3,2191.26,,
1.5,1,1226.96,0,0,0,0,0,0,5,1,28238.69,1,330.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,8.5,87,75,651,0,1,1,B3,S,1,563.4,0,0
5.9,1,6522.51,0,4,1,1,13.72,0,1,1,262.21,1,2778.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,15,112,55,607,1,1,0,B7,S,3,3704.22,0,0
6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71,1,7.5,141,53,663,0,1,0,B4,S,0,0,0,0
3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67900,0,0,0,0,0,0,1,14954.72,1,0,0,1,0,0,1,31,1,8.5,100,39,642,0,0,0,B4,R,0,0,1,61782.69
3.9,0,0,0,0,0,0,0,0,0,1,8364.24,1,8964.04,0,0,1,85000,0,0,0,0,0,0,0,0,0,0,0,1,851.76,0,0,6,1,10.5,83,51,680,0,1,1,B4,R,0,0,0,0
3.9,1,4079.23,0,5,1,0,0,0,0,1,2.67,1,520.71,3,189.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,619,0,1,0,B8,U,2,2260.33,0,0
8.4,1,11911.52,0,5,0,0,0,0,0,0,0,1,7017.28,3,304.23,1,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,7.5,106,42,603,0,1,1,B7,S,2,2056.08,0,0
4.3,0,0,0,0,0,0,0,,0,1,4487.73,0,0,,,0,0,0,0,1,0,1,9943.13,0,0,0,0,0,,,,0,65,0,3,120,28,644,0,1,0,B18,S,0,0,,
2,1,247.64,0,3,0,0,0,0,0,1,29.19,1,0,1,21.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,9.5,83,37,618,0,1,0,B1,R,3,558.42,0,0
0.5,1,1953.25,0,2,0,0,0,0,0,1,411.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,9.5,118,52,698,0,1,0,B12,S,0,0,0,0
4.1,1,1934.25,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1,7.5,133,43,667,0,1,0,B4,S,1,1539.37,0,0
1.6,1,27981.04,0,2,1,0,0,0,1,1,2047.67,0,0,0,0,1,9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,7.5,151,60,752,0,1,0,B16,S,5,866.14,0,0
4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15106.05,0,0,0,0,0,0,1,80,1,8,113,72,721,0,0,0,B5,R,0,0,0,0
8,1,1839.35,0,4,1,0,0,0,0,1,271.65,1,213.82,2,153.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,463.85,0,0,22,0,5,108,20,599,0,1,0,B1,S,3,2521.79,0,0
3.2,1,604.02,0,19,0,1,10.92,1,3,1,43.81,1,4950.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,1.5,148,31,607,0,1,0,B3,U,4,5183.97,0,0
2.6,0,0,0,0,0,0,0,,0,1,622.43,1,835.68,,,1,4700,0,0,0,0,0,0,0,0,0,1,62409.4,,,,0,50,1,5,120,33,567,0,1,1,B15,U,0,0,,
5.2,1,1074.58,0,5,0,1,6.35,3,0,1,13987.51,1,1395.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0,2.5,113,60,682,0,1,1,B3,S,2,1680.89,0,0
5.8,1,1047.9,0,6,0,0,0,,3,0,0,1,1241.78,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,69,0,2,132,45,679,0,1,1,B18,U,3,4512.92,,
4,1,1522.22,0,12,1,0,0,2,1,0,0,1,639.67,0,0,0,0,1,5421.24,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,605,0,1,0,B2,U,4,2507.57,0,0
5.3,1,495.29,0,5,1,0,0,0,2,1,327.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,10,96,54,682,0,1,0,B5,S,4,1715.65,1,0
3.8,1,731.07,0,2,0,1,4.48,,0,1,133.14,1,372.2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,48,0,3.5,114,35,588,0,1,1,B15,U,2,876.74,,
6.8,1,5482.37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,4.5,121,62,610,0,1,0,B8,S,1,187.05,0,0
0.8,1,548.63,0,11,0,0,0,2,8,1,12.49,1,1351.49,1,31.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5.5,97,59,690,0,1,0,B5,U,6,2775.13,0,0
0.3,1,111.59,0,1,0,0,0,0,3,0,0,1,1020.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,237.36,1,0,37,1,12,106,44,628,0,1,0,B5,U,3,594.94,0,0
2.7,1,943,0,7,1,0,0,0,0,0,0,1,874.55,2,79.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2215.23,0,0,16,1,11,94,73,709,0,1,0,B4,S,4,1867.85,0,0
0.5,1,800.64,1,4,0,1,8.26,0,2,1,549.31,1,1834.81,1,109.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,5.5,132,73,695,0,1,0,B5,U,2,1470.22,0,0
2.3,1,242.9,0,0,0,0,0,0,0,0,0,1,1796.04,1,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,8,95,67,662,0,1,0,B11,S,2,1206.79,0,0
4.2,1,110.96,0,8,0,1,55.51,0,0,1,136.64,1,848.11,0,0,0,0,0,0,1,23030.7,1,10113.99,0,0,0,0,0,1,154243.01,1,0,25,1,8.5,88,41,646,0,1,1,B6,S,3,1439.98,0,0
4,1,1734.85,0,4,0,0,0,0,0,0,0,1,3224.73,1,60.19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3076.1,0,0,,,,,,643,0,1,0,B2,U,3,3007.2,0,0
4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,445.05,0,0,56,1,9.5,106,85,674,0,1,1,B8,S,0,0,0,0
18.1,1,1980.38,0,12,1,0,0,0,1,1,18075.92,1,207.08,6,209.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,191.39,1,1,52,0,3.5,129,69,635,0,1,1,B7,U,2,2033.75,0,0
3.6,1,882.75,0,13,0,0,0,0,6,0,0,1,1548.45,0,0,1,19800,0,0,0,0,0,0,1,15548.4,1,0,0,0,0,0,0,,,,,,665,0,1,1,B2,U,4,16475.2,0,0
8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15067.71,0,0,0,1,2106.7,0,1,,,,,,625,0,1,1,B2,U,0,0,0,0
2.8,1,850.65,0,9,0,0,0,0,0,0,0,1,0,2,91.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,1,7.5,103,35,664,0,1,0,B4,S,2,1976.5,0,0
2.7,1,388.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,626,0,0,0,B2,S,0,0,0,0
15.6,1,883.17,0,4,1,0,0,0,0,0,0,1,176.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,8,90,54,639,1,1,0,B7,U,2,749.48,0,0
5.6,1,627.61,0,6,1,0,0,0,0,1,19399.34,1,605.46,0,0,0,0,1,5591.88,0,0,0,0,0,0,0,0,0,1,153.06,0,0,,,,,,650,0,1,1,B4,S,3,1081.5,0,0
,1,49.21,0,0,0,0,0,0,0,0,0,1,345.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,5,112,39,662,0,1,0,B2,R,1,140.93,0,0
2.4,1,473.09,0,4,0,0,0,0,11,0,0,1,231.41,2,31.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,4.5,133,42,695,0,1,0,B7,U,4,988.12,0,0
,1,8025.94,0,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1,11,141,69,672,0,1,1,B2,S,2,5567.27,0,0
4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15062.7,0,0,0,0,0,0,0,31,0,4,113,24,669,0,1,1,B3,S,0,0,0,0
3.3,0,0,0,0,0,0,0,,0,1,25271.11,0,0,,,1,10800,0,0,0,0,0,0,0,0,0,0,0,,,,0,62,0,5.5,130,26,624,0,0,1,B18,R,0,0,,
8.7,1,5334.63,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,6,107,54,681,0,1,0,B3,U,2,3424.85,0,0
14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,14980,0,0,0,0,0,0,0,,,,,,653,0,1,0,B2,R,0,0,0,0
4.2,1,10674.3,0,14,0,0,0,,3,1,6451.08,1,8317.41,,,0,0,0,0,0,0,0,0,1,21593.26,0,0,0,,,,1,16,0,8,109,50,660,0,1,0,B15,R,2,3007.89,,
20,1,1479.28,0,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2895.97,0,0,107,0,1,149,,,0,1,1,B5,U,2,2336.79,0,0
2.8,1,57.87,0,0,0,0,0,0,2,1,1249.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32.48,0,1,23,0,4.5,98,62,641,0,1,0,B1,R,2,65.05,0,0
0.8,1,456.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,5,99,50,663,0,1,0,B3,S,0,0,0,0
,1,1914.48,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,9.5,106,47,679,0,1,0,B4,S,2,1161.04,0,0
0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1450,0,0,,,,,,644,0,1,1,B2,S,0,0,0,0
0.9,1,11925.25,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,509.78,0,0,41,0,4.5,138,,,0,1,0,B17,R,1,13088.94,0,0
15.9,1,9565.05,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,716,0,1,1,B4,U,3,645.45,0,0
1,1,207.71,0,0,0,0,0,0,0,0,0,1,5.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,626,0,0,12,1,10.5,98,64,759,0,1,0,B5,U,1,7.39,0,0
22,1,804.46,0,3,1,0,0,0,1,0,0,1,658.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3921.16,0,1,107,1,5.5,143,,,0,1,0,B1,S,3,4210.57,0,0
3.9,1,7035.96,0,8,1,0,0,,2,1,5617.23,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,684,0,1,0,B15,U,3,3291.13,,
4.3,0,0,0,0,0,0,0,0,0,1,8126.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,285.58,0,0,19,0,5,84,36,616,0,1,0,B6,S,0,0,0,0
0.5,1,99.03,0,0,0,1,3.64,0,1,0,0,1,240.63,2,43.25,1,7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,5,85,56,624,0,1,0,B4,U,2,877.32,0,0
0.9,1,292.25,0,1,0,0,0,0,0,1,382.56,1,997.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,333.9,2,0,22,0,4,98,65,693,0,1,0,B4,U,2,540.76,0,0
18.8,1,852.1,0,11,0,0,0,3,3,1,1706.72,1,1437.37,0,0,0,0,0,0,1,46991.36,1,9935.1,1,15376.81,1,0,0,1,138731.43,0,0,45,1,8,102,58,611,0,1,1,B2,R,4,3985.49,0,0
4.3,1,12189.64,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,14319.45,0,0,0,0,0,0,0,0,0,1,840.72,0,0,93,1,7.5,136,35,741,0,1,1,B8,U,2,1983.95,0,0
1.9,1,35.01,0,1,0,0,0,0,2,0,0,1,206.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2107.49,0,0,31,1,7.5,107,41,687,0,1,0,B3,U,3,398.97,0,0
3.9,1,1576.47,0,3,0,0,0,,2,0,0,1,1564.49,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,8,0,6.5,109,57,680,0,1,0,B14,U,2,1103.09,,
4.1,1,9099.38,0,3,1,0,0,,3,1,134.69,1,526.92,,,1,3200,0,0,0,0,0,0,0,0,0,0,0,,,,0,132,0,2.5,188,46,697,0,1,0,B14,U,3,7318.9,,
1.4,1,91.95,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,2.5,137,37,648,0,1,0,B1,S,3,526.23,0,0
4.3,1,2562.52,0,0,0,0,0,0,2,0,0,1,1020.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,405.69,0,0,32,0,5.5,114,57,627,0,1,0,B8,R,2,1684.29,0,0
